Send Rates,Block Size,Avg Latency,Throughput
55.3,440,1.22,54.2
55.2,450,1.24,53.8
55.3,460,1.28,52.6
55.2,470,1.23,53.1
55.2,480,1.26,52.7
55.3,490,1.25,53.3
55.2,500,1.24,53.3
55.2,510,1.24,52.9
55.3,520,1.21,54.1
55.2,530,1.24,52.8
55.2,540,1.25,52.6
55.2,550,1.24,53.3
55.3,560,1.24,52.8
55.2,570,1.24,52.9
55.3,580,1.26,53.1
55.3,590,1.26,53.1
55.3,600,1.23,53.9
55.2,610,1.23,54.1
55.2,620,1.26,53.1
55.2,630,1.2,54
55.3,640,1.26,52.8
55.3,650,1.28,53.1
55.2,660,1.27,53.5
55.2,670,1.26,52.8
55.3,680,1.31,52.8
55.2,690,1.25,53.7
55.3,700,1.35,53.3
55.2,710,1.27,52.9
55.2,720,1.33,53.1
55.2,730,1.27,52.9
55.3,740,1.25,53.3
55.2,750,1.22,54.2
55.2,760,1.24,53.8
55.2,770,1.24,53.5
55.3,780,1.24,53.5
55.3,790,1.24,53.1
55.2,800,1.27,52.9
60.3,10,0.08,60.2
60.2,20,0.18,60
60.3,30,0.3,53.9
60.3,40,0.37,60
60.2,50,0.48,60
60.2,60,0.63,55.1
60.2,70,0.71,54.2
60.3,80,0.83,55.1
60.3,90,0.91,53.8
60.3,100,0.98,59.6
60.2,110,1.11,53.8
60.2,120,1.23,55.1
60.3,130,1.25,59.3
60.3,140,1.26,54.1
60.3,150,1.35,54.4
60.3,160,1.28,54.2
60.3,170,1.27,53.8
60.3,180,1.34,54
60.2,190,1.29,53.6
60.2,200,1.27,59.5
60.3,210,1.26,54.1
60.2,220,1.26,53.8
60.2,230,1.25,53.6
60.3,240,1.25,53.8
60.3,250,1.26,53.8
60.2,260,1.25,54.1
60.3,270,1.27,53.7
60.2,280,1.25,53.7
60.3,290,1.26,54.2
60.3,300,1.27,53.9
60.2,310,1.27,53.8
60.2,320,1.25,53.5
60.3,330,1.28,53.6
60.2,340,1.28,53.8
60.3,350,1.27,53.6
60.3,360,1.26,53.5
60.3,370,1.27,59.3
60.3,380,1.26,54
60.3,390,1.3,53.6
