Time,Number
2014-09-03 19:30,40843
2014-09-03 19:35,35395
2014-09-03 19:40,38131
2014-09-03 19:45,35491
2014-09-03 19:50,36308
2014-09-03 19:55,35804
2014-09-03 20:00,40133
2014-09-03 20:05,39533
2014-09-03 20:10,39942
2014-09-03 20:15,44982
2014-09-03 20:20,37724
2014-09-03 20:25,37229
2014-09-03 20:30,35499
2014-09-03 20:35,41840
2014-09-03 20:40,35000
2014-09-03 20:45,36895
2014-09-03 20:50,36203
2014-09-03 20:55,36108
2014-09-03 21:00,41344
2014-09-03 21:05,34080
2014-09-03 21:10,36822
2014-09-03 21:15,34177
2014-09-03 21:20,38722
2014-09-03 21:25,39133
2014-09-03 21:30,33068
2014-09-03 21:35,35088
2014-09-03 21:40,31969
2014-09-03 21:45,31765
2014-09-03 21:50,30858
2014-09-03 21:55,32069
2014-09-03 22:00,36297
2014-09-03 22:05,37206
2014-09-03 22:10,32077
2014-09-03 22:15,34800
2014-09-03 22:20,34783
2014-09-03 22:25,30056
2014-09-03 22:30,30250
2014-09-03 22:35,31860
2014-09-03 22:40,30453
2014-09-03 22:45,31053
2014-09-03 22:50,28031
2014-09-03 22:55,28327
2014-09-03 23:00,32471
2014-09-03 23:05,28531
2014-09-03 23:10,27739
2014-09-03 23:15,22783
2014-09-03 23:20,25105
2014-09-03 23:25,25815
2014-09-03 23:30,22784
2014-09-03 23:35,27025
2014-09-03 23:40,21982
2014-09-03 23:45,20267
2014-09-03 23:50,21073
2014-09-03 23:55,20165
2014-09-04 00:00,23191
2014-09-04 00:05,22084
2014-09-04 00:10,18446
2014-09-04 00:15,19469
2014-09-04 00:20,20865
2014-09-04 00:25,15632
2014-09-04 00:30,16332
2014-09-04 00:35,15930
2014-09-04 00:40,18047
2014-09-04 00:45,17142
2014-09-04 00:50,15220
2014-09-04 00:55,15616
2014-09-04 01:00,13511
2014-09-04 01:05,14017
2014-09-04 01:10,14724
2014-09-04 01:15,10886
2014-09-04 01:20,10390
2014-09-04 01:25,10079
2014-09-04 01:30,10583
2014-09-04 01:35,9480
2014-09-04 01:40,8975
2014-09-04 01:45,7759
2014-09-04 01:50,8169
2014-09-04 01:55,7362
2014-09-04 02:00,7568
2014-09-04 02:05,6655
2014-09-04 02:10,5846
2014-09-04 02:15,6454
2014-09-04 02:20,7567
2014-09-04 02:25,5350
2014-09-04 02:30,5746
2014-09-04 02:35,5649
2014-09-04 02:40,5544
2014-09-04 02:45,5343
2014-09-04 02:50,4135
2014-09-04 02:55,4333
2014-09-04 03:00,5142
2014-09-04 03:05,3931
2014-09-04 03:10,5445
2014-09-04 03:15,4434
2014-09-04 03:20,5950
2014-09-04 03:25,4129
2014-09-04 03:30,4635
2014-09-04 03:35,3835
2014-09-04 03:40,3226
2014-09-04 03:45,4031
2014-09-04 03:50,4541
2014-09-04 03:55,3933
2014-09-04 04:00,3631
2014-09-04 04:05,4439
2014-09-04 04:10,3927
2014-09-04 04:15,5442
2014-09-04 04:20,4741
2014-09-04 04:25,4841
2014-09-04 04:30,4741
2014-09-04 04:35,4137
2014-09-04 04:40,3327
2014-09-04 04:45,4939
2014-09-04 04:50,5847
2014-09-04 04:55,4739
2014-09-04 05:00,5751
2014-09-04 05:05,5244
2014-09-04 05:10,6352
2014-09-04 05:15,7147
2014-09-04 05:20,8257
2014-09-04 05:25,7160
2014-09-04 05:30,8061
2014-09-04 05:35,7562
2014-09-04 05:40,9573
2014-09-04 05:45,10685
2014-09-04 05:50,10991
2014-09-04 05:55,10288
2014-09-04 06:00,10184
2014-09-04 06:05,10990
2014-09-04 06:10,11686
2014-09-04 06:15,14424
2014-09-04 06:20,13418
2014-09-04 06:25,17438
2014-09-04 06:30,15220
2014-09-04 06:35,13816
2014-09-04 06:40,13810
2014-09-04 06:45,14316
2014-09-04 06:50,17541
2014-09-04 06:55,19057
2014-09-04 07:00,14924
2014-09-04 07:05,16640
2014-09-04 07:10,17945
2014-09-04 07:15,19048
2014-09-04 07:20,20871
2014-09-04 07:25,20683
2014-09-04 07:30,20765
2014-09-04 07:35,22586
2014-09-04 07:40,22376
2014-09-04 07:45,22885
2014-09-04 07:50,23093
2014-09-04 07:55,22794
2014-09-04 08:00,23697
2014-09-04 08:05,21778
2014-09-04 08:10,24708
2014-09-04 08:15,25926
2014-09-04 08:20,25020
2014-09-04 08:25,29545
2014-09-04 08:30,32259
2014-09-04 08:35,25413
2014-09-04 08:40,27533
2014-09-04 08:45,25517
2014-09-04 08:50,27829
2014-09-04 08:55,27424
2014-09-04 09:00,26613
2014-09-04 09:05,23592
2014-09-04 09:10,26122
2014-09-04 09:15,28032
2014-09-04 09:20,27646
2014-09-04 09:25,27948
2014-09-04 09:30,25618
2014-09-04 09:35,28236
2014-09-04 09:40,29041
2014-09-04 09:45,25809
2014-09-04 09:50,27837
2014-09-04 09:55,27029
2014-09-04 10:00,26620
2014-09-04 10:05,25813
2014-09-04 10:10,26630
2014-09-04 10:15,27326
2014-09-04 10:20,25818
2014-09-04 10:25,27936
2014-09-04 10:30,32369
2014-09-04 10:35,24002
2014-09-04 10:40,28543
2014-09-04 10:45,27133
2014-09-04 10:50,25104
2014-09-04 10:55,23891
2014-09-04 11:00,26613
2014-09-04 11:05,23593
